symbol,datetime,open,high,low,close
EURUSD,2026-06-23 00:00:00+00:00,1.1427,1.1438,1.1374,1.1381
EURUSD,2026-06-22 00:00:00+00:00,1.1465,1.1473,1.1418,1.1427
EURUSD,2026-06-19 00:00:00+00:00,1.1457,1.148,1.1416,1.1468
EURUSD,2026-06-18 00:00:00+00:00,1.1499,1.1528,1.145,1.1456
EURUSD,2026-06-17 00:00:00+00:00,1.1607,1.1616,1.1477,1.1499
EURUSD,2026-06-16 00:00:00+00:00,1.159,1.1619,1.1573,1.1607
EURUSD,2026-06-15 00:00:00+00:00,1.1572,1.1622,1.1566,1.159
EURUSD,2026-06-12 00:00:00+00:00,1.1577,1.1589,1.1555,1.1568
EURUSD,2026-06-11 00:00:00+00:00,1.1535,1.1589,1.1502,1.1577
EURUSD,2026-06-10 00:00:00+00:00,1.1541,1.1572,1.153,1.1535
EURUSD,2026-06-09 00:00:00+00:00,1.154,1.1577,1.1525,1.1543
EURUSD,2026-06-08 00:00:00+00:00,1.1518,1.1554,1.1499,1.1534
EURUSD,2026-06-05 00:00:00+00:00,1.1615,1.1644,1.1516,1.1519
EURUSD,2026-06-04 00:00:00+00:00,1.1596,1.1645,1.1592,1.1609
EURUSD,2026-06-03 00:00:00+00:00,1.163,1.1633,1.1594,1.1595
EURUSD,2026-06-02 00:00:00+00:00,1.1627,1.1655,1.1613,1.1631
EURUSD,2026-06-01 00:00:00+00:00,1.1655,1.1665,1.1606,1.163
EURUSD,2026-05-29 00:00:00+00:00,1.165,1.1685,1.1622,1.1659
EURUSD,2026-05-28 00:00:00+00:00,1.1624,1.166,1.1584,1.1651
EURUSD,2026-05-27 00:00:00+00:00,1.1628,1.166,1.1621,1.1624
EURUSD,2026-05-26 00:00:00+00:00,1.164,1.1645,1.1615,1.1628
EURUSD,2026-05-25 00:00:00+00:00,1.1629,1.1653,1.1628,1.1643
EURUSD,2026-05-22 00:00:00+00:00,1.1618,1.1622,1.1587,1.1602
EURUSD,2026-05-21 00:00:00+00:00,1.1625,1.1635,1.1575,1.1618
EURUSD,2026-05-20 00:00:00+00:00,1.1601,1.1644,1.1582,1.1627
EURUSD,2026-05-19 00:00:00+00:00,1.1655,1.1661,1.1591,1.1604
EURUSD,2026-05-18 00:00:00+00:00,1.1624,1.166,1.1607,1.1655
EURUSD,2026-05-15 00:00:00+00:00,1.167,1.1673,1.1616,1.1625
EURUSD,2026-05-14 00:00:00+00:00,1.171,1.1721,1.1665,1.1668
EURUSD,2026-05-13 00:00:00+00:00,1.1735,1.1741,1.1695,1.171
EURUSD,2026-05-12 00:00:00+00:00,1.1779,1.1787,1.1721,1.1737
EURUSD,2026-05-11 00:00:00+00:00,1.1777,1.179,1.1746,1.1782
EURUSD,2026-05-08 00:00:00+00:00,1.1724,1.1787,1.172,1.1784
EURUSD,2026-05-07 00:00:00+00:00,1.1749,1.1778,1.1721,1.1725
EURUSD,2026-05-06 00:00:00+00:00,1.1691,1.1796,1.1689,1.1747
EURUSD,2026-05-05 00:00:00+00:00,1.1695,1.1713,1.1675,1.1692
EURUSD,2026-05-04 00:00:00+00:00,1.1733,1.1756,1.168,1.169
EURUSD,2026-05-01 00:00:00+00:00,1.1731,1.1785,1.1714,1.172
EURUSD,2026-04-30 00:00:00+00:00,1.167,1.1741,1.1654,1.173
EURUSD,2026-04-29 00:00:00+00:00,1.171,1.172,1.166,1.1677
EURUSD,2026-04-28 00:00:00+00:00,1.1723,1.1726,1.1676,1.1711
EURUSD,2026-04-27 00:00:00+00:00,1.1698,1.1754,1.1687,1.172
EURUSD,2026-04-24 00:00:00+00:00,1.1682,1.1723,1.1671,1.172
EURUSD,2026-04-23 00:00:00+00:00,1.1704,1.1716,1.1668,1.1683
EURUSD,2026-04-22 00:00:00+00:00,1.1743,1.1762,1.1702,1.1703
EURUSD,2026-04-21 00:00:00+00:00,1.1787,1.1791,1.1718,1.1742
EURUSD,2026-04-20 00:00:00+00:00,1.1758,1.179,1.1726,1.1787
EURUSD,2026-04-17 00:00:00+00:00,1.1775,1.1848,1.176,1.1762
EURUSD,2026-04-16 00:00:00+00:00,1.1799,1.1823,1.1766,1.1781
EURUSD,2026-04-15 00:00:00+00:00,1.1796,1.1807,1.1771,1.1798
EURUSD,2026-04-14 00:00:00+00:00,1.1756,1.1811,1.1752,1.1795
EURUSD,2026-04-13 00:00:00+00:00,1.1661,1.1765,1.1661,1.1757
EURUSD,2026-04-10 00:00:00+00:00,1.1697,1.1739,1.1676,1.1719
EURUSD,2026-04-09 00:00:00+00:00,1.1662,1.1723,1.1649,1.1699
EURUSD,2026-04-08 00:00:00+00:00,1.1592,1.1721,1.1585,1.1662
EURUSD,2026-04-07 00:00:00+00:00,1.154,1.1605,1.1522,1.1594
EURUSD,2026-04-06 00:00:00+00:00,1.1516,1.1571,1.1504,1.1541
EURUSD,2026-04-03 00:00:00+00:00,1.1537,1.1549,1.1512,1.1515
EURUSD,2026-04-02 00:00:00+00:00,1.1588,1.1605,1.1508,1.1537
EURUSD,2026-04-01 00:00:00+00:00,1.1552,1.1627,1.1548,1.1588
EURUSD,2026-03-31 00:00:00+00:00,1.1468,1.1563,1.1446,1.1552
EURUSD,2026-03-30 00:00:00+00:00,1.1511,1.1521,1.1442,1.1465
EURUSD,2026-03-27 00:00:00+00:00,1.1527,1.1547,1.1501,1.1508
EURUSD,2026-03-26 00:00:00+00:00,1.1558,1.1572,1.1519,1.1526
EURUSD,2026-03-25 00:00:00+00:00,1.1606,1.163,1.1554,1.1558
EURUSD,2026-03-24 00:00:00+00:00,1.1613,1.1628,1.1555,1.1607
EURUSD,2026-03-23 00:00:00+00:00,1.154,1.1639,1.1483,1.1612
EURUSD,2026-03-20 00:00:00+00:00,1.1588,1.1595,1.1524,1.157
EURUSD,2026-03-19 00:00:00+00:00,1.1451,1.1616,1.1442,1.1588
EURUSD,2026-03-18 00:00:00+00:00,1.1539,1.1555,1.1448,1.145
EURUSD,2026-03-17 00:00:00+00:00,1.1505,1.1547,1.1465,1.1538
EURUSD,2026-03-16 00:00:00+00:00,1.1412,1.1524,1.141,1.1503
EURUSD,2026-03-13 00:00:00+00:00,1.151,1.1529,1.141,1.1416
EURUSD,2026-03-12 00:00:00+00:00,1.1567,1.1575,1.1508,1.151
EURUSD,2026-03-11 00:00:00+00:00,1.1611,1.1645,1.1559,1.1566
EURUSD,2026-03-10 00:00:00+00:00,1.1636,1.1667,1.1605,1.161
EURUSD,2026-03-09 00:00:00+00:00,1.1567,1.1637,1.1505,1.1636
EURUSD,2026-03-06 00:00:00+00:00,1.1609,1.1621,1.1544,1.1618
EURUSD,2026-03-05 00:00:00+00:00,1.1633,1.1647,1.1558,1.1607
EURUSD,2026-03-04 00:00:00+00:00,1.1611,1.1654,1.1573,1.1633
EURUSD,2026-03-03 00:00:00+00:00,1.1687,1.1706,1.1528,1.1613
EURUSD,2026-03-02 00:00:00+00:00,1.1776,1.1795,1.1671,1.1687
EURUSD,2026-02-27 00:00:00+00:00,1.1796,1.1826,1.1785,1.1813
EURUSD,2026-02-26 00:00:00+00:00,1.1809,1.1828,1.1773,1.1797
EURUSD,2026-02-25 00:00:00+00:00,1.1772,1.1814,1.1769,1.1809
EURUSD,2026-02-24 00:00:00+00:00,1.179,1.1796,1.1765,1.1771
EURUSD,2026-02-23 00:00:00+00:00,1.1781,1.1834,1.1774,1.1784
EURUSD,2026-02-20 00:00:00+00:00,1.1772,1.1807,1.1742,1.178
